key,value
1,django
2,numpy
3,pandas
4,python-2.7
5,list
6,python-3.x
7,matplotlib
8,regex
9,dictionary
10,string
11,arrays
12,flask
13,google-app-engine
14,sqlalchemy
15,scipy
16,tkinter
17,csv
18,django-models
19,json
20,beautifulsoup
21,mysql
22,multithreading
23,pip
24,datetime
25,subprocess
26,scrapy
27,unicode
28,xml
29,linux
30,html
31,unit-testing
32,selenium
33,performance
34,class
35,multiprocessing
36,algorithm
37,windows
38,dataframe
39,sorting
40,c++
41,osx
42,opencv
43,pyqt
44,file
45,function
46,scikit-learn
47,pygame
48,parsing
49,list-comprehension
50,virtualenv
51,logging
52,sockets
53,import
54,tuples
55,loops
56,web-scraping
57,django-templates
58,mongodb
59,lxml
60,postgresql
61,plot
62,sql
63,ipython
64,javascript
65,python-imaging-library
66,module
67,c
68,django-rest-framework
69,exception
70,for-loop
71,recursion
72,cython
73,oop
74,python-requests
75,django-forms
76,django-admin
77,wxpython
78,argparse
79,celery
80,bash
81,qt
82,pyqt4
83,ctypes
84,matrix
85,selenium-webdriver
86,generator
87,math
88,decorator
89,sqlite
90,urllib2
91,jinja2
92,shell
93,nltk
94,file-io
95,random
96,inheritance
97,python-import
98,setuptools
99,twisted
100,image
101,xpath
102,python-2.x
103,flask-sqlalchemy
104,variables
105,database
106,excel
107,pymongo
108,machine-learning
109,syntax
110,utf-8
111,encoding
112,ubuntu
113,optimization
114,java
115,if-statement
116,pickle
117,pycharm
118,exception-handling
119,user-interface
120,pyramid
121,indexing
122,python-sphinx
123,set
124,split
125,tornado
126,lambda
127,sqlite3
128,image-processing
129,iterator
130,apache
131,mocking
132,debugging
133,http
134,apache-spark
135,matlab
136,urllib
137,forms
138,object
139,iteration
140,mysql-python
141,sympy
142,r
143,elementtree
144,slice
145,testing
146,heroku
147,path
148,floating-point
149,twitter
150,pyside
151,gtk
152,replace
153,nlp
154,distutils
155,methods
156,pygtk
157,kivy
158,django-queryset
159,time
160,coding-style
161,rest
162,email
163,jquery
164,vim
165,orm
166,networkx
167,while-loop
168,amazon-web-services
169,psycopg2
170,templates
171,itertools
172,date
173,ssh
174,mechanize
175,web-crawler
176,memory
177,php
178,py.test
179,popen
180,git
181,ipython-notebook
182,fabric
183,scope
184,paramiko
185,multidimensional-array
186,arguments
187,string-formatting
188,ajax
189,openerp
190,perl
191,api
192,swig
193,text
194,mod-wsgi
195,html-parsing
196,pyspark
197,pyparsing
198,boto
199,printing
200,anaconda
201,statistics
202,python-3.4
203,graph
204,pydev
205,url
206,py2exe
207,python-2.6
208,parallel-processing
209,serialization
210,ruby
211,networking
212,stdout
213,boolean
214,command-line
215,c#
216,functional-programming
217,boost-python
218,unix
219,raspberry-pi
220,python-internals
221,data-structures
222,jython
223,io
224,character-encoding
225,time-series
226,nose
227,nginx
228,uwsgi
229,types
230,input
231,search
232,attributes
233,documentation
234,hash
235,eclipse
236,ssl
237,package
238,append
239,metaclass
240,tensorflow
241,theano
242,android
243,easy-install
244,boost
245,queue
246,pdb
247,emacs
248,pipe
249,bottle
250,tweepy